"day","Mean biomass (kg DM/ha)","Mean green vegetative biomass (kg DM/ha)","Mean green reproductive biomass (kg DM/ha)","Mean dry vegetative biomass (kg DM/ha)","Mean dry reproductive biomass (kg DM/ha)","Harvested Biomass (kg DM/ha)","Ingested Biomass (kg DM/ha)","Mean GRO biomass (kg DM/ha)","Mean available biomass for cut (kg DM/ha)"
1,2449.49525,748.738125,0.0,1200.757125,500.0,0.0,0.0,0.0,1699.49525
2,2449.4666641343765,748.6666603359408,0.0,1200.8000037984357,500.0,0.0,0.0,0.0,1699.4666641343765
3,2449.3235315464985,748.3088288662453,0.0,1201.014702680253,500.0,0.0,0.0,0.0,1699.3235315464985
4,2449.2193170704645,748.0482926761606,0.0,1201.171024394304,500.0,0.0,0.0,0.0,1699.2193170704645
5,2449.1971125034443,747.9927812586095,0.0,1201.2043312448345,500.0,0.0,0.0,0.0,1699.197112503444
6,2448.0058960801057,747.9927812586095,0.0,1200.2965210714963,499.71659375,0.0,0.0,0.0,1698.0058960801057
7,2443.7742361189194,747.9927812586095,0.0,1197.0717744305725,498.7096804297373,0.0,0.0,0.0,1693.7742361189194
8,2443.735577358475,747.896134357499,0.0,1197.1297625712389,498.7096804297373,0.0,0.0,0.0,1693.7355773584752
9,2443.020065126735,746.1073537781494,0.0,1198.2030309188485,498.7096804297373,0.0,0.0,0.0,1693.0200651267353
10,2442.1840020965356,744.0171962026502,0.0,1199.457125464148,498.7096804297373,0.0,0.0,0.0,1692.1840020965356
11,2440.310705679509,739.3339551600834,0.0,1202.267070089688,498.7096804297373,0.0,0.0,0.0,1690.3107056795088
12,2425.205350108863,733.3683002809853,0.0,1196.145420122253,495.6916297056248,0.0,0.0,0.0,1675.205350108863
13,2395.372741178688,721.6137509365205,0.0,1184.0261315784398,489.7328586637276,0.0,0.0,0.0,1645.372741178688
14,2368.636425228499,711.1281017901393,0.0,1173.1126346852013,484.3956887531581,0.0,0.0,0.0,1618.6364252284989
15,2359.342492709162,711.1281017901393,0.0,1166.0163297189113,482.1980612001114,0.0,0.0,0.0,1609.3424927091621
16,2358.179264916659,708.2200323088813,0.0,1167.761171407666,482.1980612001114,0.0,0.0,0.0,1608.179264916659
17,2341.0352229585633,701.5218642983119,0.0,1160.7356789951268,478.7776796651249,0.0,0.0,0.0,1591.0352229585635
18,2332.5044159306176,701.5218642983119,0.0,1154.2204212657143,476.7621303665915,0.0,0.0,0.0,1582.5044159306176
19,2316.2029790753168,695.1416983229849,0.0,1147.5511746746042,473.51010607772787,0.0,0.0,0.0,1566.202979075317
20,2279.116833620845,680.6645035282859,0.0,1132.3383038998568,466.1140261927019,0.0,0.0,0.0,1529.1168336208445
21,2233.6115103449974,669.2960102225754,0.0,1105.4795023023792,458.8359978200426,0.0,0.0,2.8022754777855945,1483.6115103449972
22,2202.9851174441396,661.2973492104251,0.0,1087.7161919374562,453.9715762962582,0.0,0.0,1.4622006272383858,1452.9851174441396
23,2187.266182973789,659.1944316785691,0.0,1077.0431308621996,451.0286204330202,0.0,0.0,3.613061214597634,1437.266182973789
24,2185.894453751407,660.4398659946745,0.0,1074.8790819515148,450.5755058052177,0.0,0.0,1.2454343161053352,1435.8944537514071
25,2182.8217769506387,661.5977695536673,0.0,1071.3815597787298,449.8424476182417,0.0,0.0,1.1579035589928046,1432.8217769506387
26,2182.588144724774,661.0136889890052,0.0,1071.732008117527,449.8424476182417,0.0,0.0,2.276507192083137,1432.5881447247739
27,2159.8051042453008,654.9372615697665,0.0,1058.6711853467443,446.1966573287902,0.0,0.0,1.1087097450045318,1409.805104245301
28,2114.437587585094,642.7277435668589,0.0,1032.8359710207185,438.8738729975167,0.0,0.0,2.646619222251183,1364.437587585094
29,2076.6097967760757,635.6231334631053,0.0,1009.0631809850754,431.92348232789476,0.0,0.0,7.797053749251077,1326.6097967760754
30,2042.615709137695,627.7781341435846,0.0,988.9656645962411,425.8719103978692,0.0,0.0,5.78491324237763,1292.615709137695
31,2011.289360778167,619.9671824104589,0.0,971.0000843124616,420.32209405524634,0.0,0.0,5.205949739163483,1261.2893607781668
32,1976.1785416388998,610.9119089588521,0.0,951.2041854103089,414.06244726973875,0.0,0.0,6.1536242285981935,1226.1785416388998
33,1937.1949450278755,600.7245593356741,0.0,929.464727074572,407.0056586176295,0.0,0.0,7.617535087804135,1187.1949450278757
34,1905.072237742805,597.1874777442127,0.0,908.0405058545703,399.8442541440221,0.0,0.0,15.27005431195025,1155.072237742805
35,1885.6290198203747,594.1440870707198,0.0,895.8412799031414,395.6436528465133,0.0,0.0,8.422914952481035,1135.6290198203747
